State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls
MI,142,415,Yes,No,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1
WA,121,510,No,No,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3
SD,87,415,No,Yes,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2
SD,34,408,No,No,0,180.6,65,30.7,280.4,99,23.83,292.4,105,13.16,5.0,3,1.35,1
AK,177,415,Yes,No,0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1
MA,58,415,No,Yes,30,178.1,111,30.28,236.7,109,20.12,264.0,118,11.88,8.4,2,2.27,0
AR,113,415,Yes,No,0,122.2,112,20.77,131.7,94,11.19,169.5,106,7.63,10.3,9,2.78,5
OR,89,415,No,No,0,111.2,101,18.9,122.1,94,10.38,180.8,85,8.14,12.6,2,3.4,3
NC,77,408,Yes,Yes,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0
OK,146,510,No,No,0,138.4,104,23.53,158.9,122,13.51,47.4,73,2.13,3.9,9,1.05,4
NJ,93,415,No,No,0,146.3,85,24.87,216.6,95,18.41,233.0,82,10.49,11.5,3,3.11,0
OH,160,415,No,No,0,206.3,66,35.07,241.1,109,20.49,227.8,102,10.25,11.7,6,3.16,0
NM,55,415,No,No,0,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0
OH,88,408,No,No,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2
MI,63,510,No,No,0,185.3,87,31.5,225.3,87,19.15,194.3,93,8.74,11.7,3,3.16,0
IL,57,415,No,Yes,30,179.2,105,30.46,283.2,83,24.07,228.1,77,10.26,14.7,5,3.97,1
RI,138,510,Yes,No,0,286.2,61,48.65,187.2,60,15.91,146.2,114,6.58,11.0,4,2.97,2
AR,115,408,No,No,0,268.0,115,45.56,153.6,106,13.06,232.3,65,10.45,17.0,1,4.59,3
NY,171,415,No,No,0,137.5,110,23.38,198.1,109,16.84,292.7,131,13.17,13.3,5,3.59,2
NC,127,510,No,No,0,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15.0,2,4.05,1
OR,61,415,No,No,0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1
VT,131,415,No,No,0,175.1,73,29.77,171.9,116,14.61,131.1,94,5.9,7.3,6,1.97,1
SD,88,408,No,No,0,142.2,107,24.17,262.4,84,22.3,139.2,99,6.26,10.1,5,2.73,1
DC,130,510,No,No,0,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6.0,1,1.62,2
RI,89,415,No,Yes,24,97.8,98,16.63,207.2,67,17.61,214.5,126,9.65,5.9,2,1.59,0
ID,82,415,No,No,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3
MN,115,415,No,No,0,200.2,92,34.03,244.9,107,20.82,190.9,96,8.59,8.8,3,2.38,1
WV,117,510,Yes,No,0,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,1
NH,60,415,No,No,0,180.3,67,30.65,208.0,68,17.68,181.2,101,8.15,12.8,6,3.46,2
WI,62,415,No,No,0,86.3,84,14.67,238.7,99,20.29,238.4,79,10.73,12.5,1,3.38,2
IN,131,408,No,No,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3
IN,65,408,No,No,0,207.7,109,35.31,217.5,117,18.49,125.6,111,5.65,8.0,5,2.16,1
OR,142,510,No,Yes,22,224.4,114,38.15,146.0,106,12.41,241.4,98,10.86,8.8,2,2.38,1
OK,134,415,No,No,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10.0,9,2.7,2
NJ,139,415,No,Yes,43,231.0,85,39.27,222.3,82,18.9,148.0,105,6.66,8.3,5,2.24,2
AR,76,408,No,No,0,107.3,140,18.24,238.2,133,20.25,271.8,116,12.23,10.0,3,2.7,4
UT,100,408,No,No,0,185.0,122,31.45,182.5,92,15.51,274.9,92,12.37,5.1,8,1.38,1
DC,99,415,No,Yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3
OH,106,415,No,Yes,30,220.1,105,37.42,222.2,109,18.89,158.4,96,7.13,13.1,8,3.54,0
KS,170,415,No,Yes,42,199.5,119,33.92,135.0,90,11.48,184.6,49,8.31,10.9,3,2.94,4
SC,78,415,No,No,0,109.5,105,18.62,286.1,90,24.32,247.6,113,11.14,4.9,9,1.32,1
TN,39,408,No,No,0,187.2,110,31.82,114.7,116,9.75,104.7,83,4.71,13.2,5,3.56,1
MI,119,510,Yes,Yes,22,172.1,119,29.26,223.6,133,19.01,150.0,94,6.75,13.9,20,3.75,1
RI,95,408,No,No,0,160.0,133,27.2,215.3,98,18.3,188.9,87,8.5,9.1,4,2.46,0
MO,116,408,No,No,0,51.1,106,8.69,208.6,137,17.73,198.0,92,8.91,12.3,3,3.32,1
TN,110,415,No,No,0,227.7,88,38.71,170.0,96,14.45,128.7,57,5.79,11.7,5,3.16,1
CT,74,510,No,No,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1
ME,148,408,No,Yes,33,241.7,84,41.09,165.8,84,14.09,160.6,80,7.23,11.3,3,3.05,1
MD,83,510,No,No,0,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1
NC,73,408,No,No,0,187.8,95,31.93,149.2,143,12.68,201.4,113,9.06,11.0,4,2.97,2
SC,111,415,No,Yes,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1
LA,75,510,Yes,No,0,153.2,78,26.04,210.8,99,17.92,153.5,100,6.91,7.8,3,2.11,1
IL,71,510,Yes,No,0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4
IN,58,415,No,Yes,22,224.1,127,38.1,238.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2
OK,172,408,No,No,0,203.9,109,34.66,234.0,123,19.89,160.7,65,7.23,17.8,4,4.81,4
IA,45,415,No,No,0,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,13.3,6,3.59,1
VT,100,408,Yes,No,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,12.0,4,3.24,4
NY,94,415,No,No,0,190.4,91,32.37,92.0,107,7.82,224.8,108,10.12,13.6,17,3.67,2
LA,128,415,No,No,0,147.7,94,25.11,283.3,83,24.08,188.3,124,8.47,6.9,5,1.86,2
SC,181,408,No,No,0,229.9,130,39.08,144.4,93,12.27,262.4,110,11.81,14.2,4,3.83,2
